report_date,incident number,incident name,start date,incident type,county,latitude,longitude,area,area measurement
7/31/2017,10308_32007,Stormy,7/30/2017,WF,32007,41.51455,-115.18525,33.98,ACRES
7/27/2017,777_6049,Blue 2,7/26/2017,WF,6049,41.829809999999995,-120.8471,33.97,ACRES
7/9/2017,10474_6065,Christmas,7/7/2017,WF,6065,33.7854,-117.3259,33.5,ACRES
7/25/2017,170551_46047,Chilson,7/24/2017,WF,46047,43.36971,-103.7005,33.4,ACRES
7/24/2017,20185_32027,Mm 94,7/23/2017,WF,32027,40.064617,-118.72661699999999,33.29,ACRES
2/22/2017,170094_46103,Pretty Flower,2/21/2017,WF,46103,43.8719,-103.3127,33.13,ACRES
6/26/2017,34_16029,Maple Creek,6/25/2017,WF,16029,42.0341667,-123.2272222,33.0,ACRES
4/15/2017,88_49043,Samak Piles - East Zone Piles,4/14/2017,WF,49043,40.56818,-111.1935,33.0,ACRES
8/3/2017,96_53067,Grand Mound,8/2/2017,WF,53067,46.79808,-123.0216,33.0,ACRES
6/15/2017,219_35003,Sawtooth,6/14/2017,WF,35003,34.33334,-108.0823,33.0,ACRES
8/25/2017,360_16031,Goose,8/24/2017,WF,16031,42.01678,-113.9626,33.0,ACRES
8/9/2017,367_30011,Beaver Flats,8/8/2017,WF,30011,45.84851,-104.6639,33.0,ACRES
11/28/2017,381_29093,Turkey,11/27/2017,WF,29093,37.553667,-90.61483299999999,33.0,ACRES
7/1/2017,675_6063,Crescent,6/30/2017,WF,6063,40.06877,-120.9497,33.0,ACRES
8/24/2017,873_49045,Jebediah Mountain,8/23/2017,WF,49045,40.980740000000004,-112.8665,33.0,ACRES
3/7/2017,4235_28021,Hopewell Rd,3/6/2017,WF,28021,26.134166699999998,-81.5805556,33.0,ACRES
3/7/2017,4241_28159,High Point Ware Rd,3/6/2017,WF,28159,33.1952778,-89.18222220000001,33.0,ACRES
3/11/2017,6100_48067,6100,3/10/2017,WF,48067,33.2369,-94.3513333,33.0,ACRES
2/1/2017,7026_48073,7026,1/30/2017,WF,48073,31.501283299999997,-95.0149167,33.0,ACRES
6/21/2017,30264_32001,Alpine,6/20/2017,WF,32001,39.48543,-117.8334,33.0,ACRES
3/3/2017,170602_1027,Timber Sale,3/2/2017,WF,1027,33.382417,-85.9253,33.0,ACRES
3/24/2017,4523_48471,4523,3/23/2017,WF,48471,30.6617833,-95.7950667,32.78,ACRES
7/27/2017,137_41045,Leppy Reservoir,7/26/2017,WF,41045,43.60127,-117.7235,32.7,ACRES
8/19/2017,834_49011,Parson,8/18/2017,WF,49011,41.13519,-111.9005,32.7,ACRES
8/11/2017,356_41019,Dl Elephant,8/10/2017,WF,41019,43.3175,-122.234167,32.55,ACRES
9/14/2017,1863_53047,Blue Grouse,9/13/2017,WF,53047,48.99694,-119.3344,32.5,ACRES
10/8/2017,2003_4005,Gash,10/7/2017,WF,4005,34.82914,-111.4822,32.5,ACRES
7/1/2017,5280_4003,Wagon Wheel,6/30/2017,WF,4003,31.9856,-110.4342,32.4,ACRES
5/30/2017,147_16073,Strike,5/29/2017,WF,16073,42.907959999999996,-115.9267,32.0,ACRES
7/17/2017,215_30087,Rough,7/16/2017,WF,30087,45.80092,-106.834,32.0,ACRES
7/21/2017,287_35093,Cdt,7/20/2017,WF,35093,41.2633333,-123.09888889999999,32.0,ACRES
8/3/2017,1494_6105,Sandy,8/2/2017,WF,6105,40.80117,-123.3751,32.0,ACRES
2/27/2017,4143_28035,Willie Rd,2/26/2017,WF,28035,42.980277799999996,-122.28166670000002,32.0,ACRES
10/18/2017,5130_30035,Deep Creek 2,10/17/2017,WF,30035,48.37372,-113.1719,32.0,ACRES
2/9/2017,6066_48277,6066,2/8/2017,WF,48277,33.7172667,-95.4249,32.0,ACRES
11/19/2017,6227_48449,6227,11/18/2017,WF,48449,33.2889167,-95.0570833,32.0,ACRES
11/30/2017,7176_48001,7176,11/29/2017,WF,48001,31.8602,-95.5157167,32.0,ACRES
3/4/2017,170009_28059,Sassafras Fire,3/3/2017,WF,28059,30.504444399999997,-88.8283333,32.0,ACRES
3/1/2017,189_29091,Wyoming,2/28/2017,WF,29091,36.74738,-92.02656,31.65,ACRES
7/30/2017,2279_30093,Fisher Ma,7/29/2017,WF,30093,46.014309999999995,-112.5952,31.6,ACRES
7/3/2017,700233_30111,Pv,7/2/2017,WF,30111,46.2645,-107.7165,31.6,ACRES
12/16/2017,1325_40107,Blowout 1,12/15/2017,WF,40107,35.3515,-96.12151999999999,31.54,ACRES
12/17/2017,1332_40015,Turnpike 65,12/16/2017,WF,40015,34.873329999999996,-98.1282,31.5,ACRES
6/7/2017,161_35006,White Mesa,6/6/2017,WF,35006,34.84305,-107.5069,31.3,ACRES
9/15/2017,1040_4017,Horse Camp Mesa,9/14/2017,WF,4017,34.09483,-110.7386,31.26,ACRES
8/21/2017,1536_16001,Otr 493,8/20/2017,WF,16001,43.239959999999996,-116.0848,31.0,ACRES
5/17/2017,4530_48339,4530,5/15/2017,WF,48339,30.2725,-95.3216,31.0,ACRES
7/5/2017,17032_48471,Holiday,7/4/2017,WF,48471,30.5479667,-95.5258333,31.0,ACRES
11/2/2017,100404_49047,El Paso,11/1/2017,WF,49047,40.339290000000005,-109.8676,31.0,ACRES
7/9/2017,5431_4003,Canary,7/8/2017,WF,4003,31.908609999999996,-110.3707,30.8,ACRES
12/5/2017,8112_48241,8112,12/3/2017,WF,48241,30.24955,-94.0176833,30.7,ACRES
2/8/2017,4011_48453,130,2/7/2017,WF,48453,30.12805,-97.6632833,30.5,ACRES
7/12/2017,4028_48055,Rosen Road,7/11/2017,WF,48055,29.7055,-97.67,30.5,ACRES
6/22/2017,4968_4003,Texas,6/21/2017,WF,4003,32.0836,-110.0531,30.5,ACRES
5/27/2017,4008_4003,Barchas,5/26/2017,WF,4003,31.537440000000004,-110.2403,30.4,ACRES
8/8/2017,366_30021,Tower,8/7/2017,WF,30021,47.40696,-104.6089,30.3,ACRES
1/30/2017,8012_48241,8012,1/28/2017,WF,48241,30.74775,-93.8986,30.18,ACRES
7/8/2017,161_46063,Lermeny - Harding,7/7/2017,WF,46063,45.59061,-103.3312,30.1,ACRES
8/2/2017,334_30017,Angelwing,8/1/2017,WF,30017,46.391009999999994,-105.7366,30.1,ACRES
6/15/2017,5011_48013,Dombshe,6/14/2017,WF,48013,28.968333299999998,-98.6243333,30.1,ACRES
9/12/2017,13827_6027,Tecopa,9/11/2017,WF,6027,35.8771,-116.2354,30.1,ACRES
4/1/2017,2281_4003,Enterprise,3/31/2017,WF,4003,31.98811,-109.0575,30.01,ACRES
3/6/2017,77_8123,Skip Trace,3/5/2017,WF,8123,40.67799,-104.4588,30.0,ACRES
